zeitstempel,sekunden,pitch,p,i,d,duty,position
18:41:46.055,0.0,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.056,0.011,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.056,0.022,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.056,0.033,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.056,0.044,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.057,0.055,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.057,0.066,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.057,0.078,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.057,0.089,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.058,0.102,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.058,0.113,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.058,0.124,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.060,0.135,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.060,0.147,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.060,0.158,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.061,0.169,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.061,0.18,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.061,0.191,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.061,0.202,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.062,0.213,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.167,0.224,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.167,0.235,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.168,0.246,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.168,0.257,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.168,0.268,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.168,0.279,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.169,0.29,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.169,0.301,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.169,0.312,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.169,0.323,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.170,0.334,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.170,0.345,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.170,0.356,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.172,0.367,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.183,0.378,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.194,0.389,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.205,0.4,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.215,0.411,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.227,0.422,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.238,0.433,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.292,0.444,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.292,0.455,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.292,0.466,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.293,0.477,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.294,0.489,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.305,0.5,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.317,0.512,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.328,0.523,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.340,0.534,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.351,0.545,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.361,0.556,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.372,0.567,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.384,0.578,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.394,0.589,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.405,0.6,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.417,0.612,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.428,0.623,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.439,0.634,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.450,0.645,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.462,0.656,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.520,0.668,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.520,0.679,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.521,0.69,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.521,0.701,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.521,0.712,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.527,0.723,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.539,0.734,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.550,0.745,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.561,0.756,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.572,0.767,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.583,0.778,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.595,0.79,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.607,0.802,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.619,0.813,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.629,0.824,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.640,0.835,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.653,0.846,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.662,0.857,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.674,0.869,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.688,0.881,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.745,0.893,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.745,0.904,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.745,0.915,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.745,0.926,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.746,0.937,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.754,0.949,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.766,0.961,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.779,0.973,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.789,0.984,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.802,0.995,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.812,1.006,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.823,1.018,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.834,1.029,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.846,1.04,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.857,1.052,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.869,1.063,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.880,1.074,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.891,1.085,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.902,1.096,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.912,1.107,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.970,1.118,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.971,1.129,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.971,1.14,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.972,1.152,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.972,1.163,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.979,1.174,2.62,-5.25,0.00,0.00,-5,-74
18:41:46.990,1.185,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.001,1.196,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.012,1.207,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.023,1.218,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.036,1.23,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.046,1.241,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.057,1.252,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.069,1.263,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.080,1.274,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.090,1.285,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.102,1.296,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.112,1.307,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.123,1.318,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.135,1.329,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.191,1.341,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.192,1.352,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.192,1.363,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.192,1.374,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.192,1.385,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.202,1.396,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.212,1.407,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.223,1.418,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.235,1.43,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.246,1.441,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.258,1.453,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.270,1.464,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.280,1.475,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.291,1.486,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.304,1.497,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.314,1.508,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.325,1.519,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.336,1.531,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.348,1.542,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.359,1.554,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.416,1.565,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.416,1.576,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.416,1.587,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.417,1.598,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.417,1.609,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.425,1.62,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.438,1.632,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.450,1.644,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.460,1.655,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.471,1.666,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.482,1.677,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.493,1.688,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.505,1.7,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.515,1.711,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.528,1.722,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.539,1.734,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.550,1.745,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.562,1.756,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.572,1.767,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.585,1.778,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.644,1.789,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.644,1.801,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.644,1.813,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.645,1.824,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.645,1.835,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.652,1.846,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.663,1.857,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.673,1.868,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.685,1.879,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.695,1.89,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.706,1.902,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.719,1.914,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.730,1.925,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.741,1.936,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.752,1.947,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.765,1.958,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.776,1.97,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.786,1.981,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.797,1.992,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.809,2.003,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.863,2.015,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.864,2.026,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.864,2.037,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.864,2.048,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.864,2.059,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.877,2.071,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.889,2.083,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.901,2.095,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.911,2.106,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.922,2.117,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.934,2.128,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.945,2.14,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.956,2.151,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.969,2.163,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.980,2.175,2.62,-5.25,0.00,0.00,-5,-74
18:41:47.992,2.186,2.62,-5.25,0.00,0.00,-5,-74
18:41:48.003,2.197,2.62,-5.25,0.00,0.00,-5,-74
18:41:48.013,2.208,2.62,-5.25,0.00,0.00,-5,-74
18:41:48.024,2.219,2.62,-5.25,0.00,0.00,-5,-74
18:41:48.036,2.23,2.62,-5.25,0.00,0.00,-5,-74
18:41:48.096,2.241,2.62,-5.25,0.00,0.00,-5,-74
18:41:48.097,2.252,2.62,-5.25,0.00,0.00,-5,-74
